adm2_name,adm1_name,Lat,Long
Banikoara,Alibori,11.34530000000,2.40467000000
Gogounou,Alibori,10.76940000000,2.69846000000
Kandi,Alibori,11.21050000000,2.96650000000
Karimama,Alibori,11.94960000000,2.74935000000
Malanville,Alibori,11.65870000000,3.26332000000
Segbana,Alibori,10.93560000000,3.46754000000
Kerou,Atakora,10.93560000000,2.00553000000
Kobli,Atakora,10.47230000000,0.90525700000
Kouande,Atakora,10.42610000000,1.72107000000
Materi,Atakora,10.79160000000,1.02805000000
Natitingou,Atakora,10.24210000000,1.40678000000
Pehunco,Atakora,10.25620000000,2.03175000000
Tanguieta,Atakora,11.03010000000,1.43781000000
Allada,Atlantique,6.67656000000,2.11862000000
Kpomasse,Atlantique,6.45374000000,2.01244000000
Ouidah,Atlantique,6.38519000000,2.12599000000
Toffo,Atlantique,6.85087000000,2.17665000000
Ze,Atlantique,6.75638000000,2.32246000000
Bembereke,Borgou,10.27130000000,2.74938000000
Kalale,Borgou,10.36570000000,3.39258000000
Nikki,Borgou,9.94934000000,3.19004000000
Parakou,Borgou,9.34694000000,2.60319000000
Perere,Borgou,9.59165000000,2.98578000000
Sinende,Borgou,10.24710000000,2.34639000000
Tchaourou,Borgou,9.16169000000,2.49456000000
Bante,Collines,8.33793000000,1.86713000000
Glazoue,Collines,8.17693000000,2.22896000000
Ouesse,Collines,8.52338000000,2.48527000000
Savalou,Collines,7.87385000000,1.86020000000
Save,Collines,7.99499000000,2.56596000000
Aplahoue,Couffo,7.17016000000,1.69406000000
Klouekanme,Couffo,7.04031000000,1.82927000000
Lalo,Couffo,6.86740000000,1.96970000000
Toviklin,Couffo,6.89772000000,1.81383000000
Bassila,Donga,8.96518000000,1.86063000000
Djougou,Donga,9.67350000000,1.85304000000
Ouake,Donga,9.59017000000,1.43875000000
Cotonou,Littoral,6.36928000000,2.41271000000
Athieme,Mono,6.57330000000,1.70472000000
Bopa,Mono,6.66413000000,1.93004000000
Come,Mono,6.42456000000,1.90069000000
Houeyogbe,Mono,6.54800000000,1.84715000000
Lokossa,Mono,6.68786000000,1.74107000000
Adjohoun,Oueme,6.70717000000,2.49637000000
Avrankou,Oueme,6.56595000000,2.64782000000
Bonou,Oueme,6.86829000000,2.47909000000
Dangbo,Oueme,6.57772000000,2.49766000000
Ifangni,Plateau,6.64855000000,2.71811000000
Ketou,Plateau,7.44106000000,2.60337000000
Pobe,Plateau,7.09347000000,2.69169000000
Sakete,Plateau,6.77421000000,2.65180000000
Abomey,Zou,7.18863000000,1.97020000000
Agbangnizoun,Zou,7.09048000000,1.95458000000
Bohicon,Zou,7.17720000000,2.09969000000
Cove,Zou,7.33836000000,2.28238000000
Djidja,Zou,7.43911000000,1.92319000000
Ouinhi,Zou,7.06857000000,2.47524000000
Zogbodomey,Zou,7.02260000000,2.18069000000
Aguegues,Oueme,6.48442000000,2.54326000000
Boukoumbe,Atakora,10.25030000000,1.13373000000
Toukountouna,Atakora,10.52520000000,1.46426000000
Abomey-calavi,Atlantique,6.50248000000,2.31994000000
So-ava,Atlantique,6.53179000000,2.43170000000
Tori-bossito,Atlantique,6.53970000000,2.14911000000
Ndali,Borgou,9.72471000000,2.46690000000
Dassa,Collines,7.69680000000,2.26860000000
Djakotome,Couffo,6.86351000000,1.68765000000
Dogbo-tota,Couffo,6.77825000000,1.75273000000
Kopargo,Donga,9.87281000000,1.54338000000
Grand-popo,Mono,6.35213000000,1.83307000000
Adjara,Oueme,6.48566000000,2.68131000000
Akpro-misserete,Oueme,6.57397000000,2.58907000000
Porto-novo,Oueme,6.48228000000,2.62062000000
Seme-kpodji,Oueme,6.40123000000,2.59957000000
Adja-ouere,Plateau,6.99294000000,2.59550000000
Za-kpota,Zou,7.23368000000,2.19851000000
Zangnanado,Zou,7.27322000000,2.39376000000
